,ID,Text,Module,Confidence
0,4e07269a-e47b-4679-a784-b7af10e861f3,需求描述文档：[项目名称/模块名称]...,,0
1,171b4ea9-3b93-4f11-9dcc-5670e6d2ec21,1. 业务场景名称...,,0
2,ff5fab13-e2a6-4f70-94d8-d5bd503ed94a,【多因子安全登录验证】...,用户中心,0.6
3,a8f09216-524f-434e-9b22-5c635e538b74,2. 技术要求与业务逻辑...,,0
4,01acb45b-af4c-4fe1-9eac-a56655fd4a4e,说明： 请按照“如果 [前提条件]，当 [执行操作] 时，则 [预期结果]”的逻辑编写。...,,0
5,38f13c6b-e2ec-4a2a-a86a-8e02444230db,正常场景： 用户在登录页面输入已注册的手机号和正确的 6 位数字验证码，点击“立即登录”按钮，系统应验证通过并跳转至 App 首页，同时在飞书推送登录成功通知。...,用户中心,0.6
6,b7fe3b76-d3e9-4a1e-a4e7-9f0136f3abdc,异常场景（边界值与约束）：...,,0
7,2ba02956-85d2-4215-82e6-fe6ca84b79c4,验证码位数约束：如果用户输入的验证码不足 6 位或超过 6 位，点击登录时，系统应在输入框下方红字提示“验证码格式错误”。...,用户中心,0.6
8,04de863d-f1f0-4f88-8046-db273f04cafa,重试次数约束：如果用户连续输入错误的验证码达到 3 次，系统应立即锁定该账号 60 分钟，并提示“尝试次数过多，请稍后再试”。...,,0
9,c6c4ab8a-7b5d-461e-bd30-2df8e818ecaa,时效性约束：如果验证码获取时间超过 300 秒，用户点击登录时，系统应提示“验证码已过期，请重新获取”。...,用户中心,0.6
10,fb19f06a-1e26-40b1-91de-a8c395a83a1e,3. 数据规格定义...,,0
11,e53d856a-0550-4533-a04c-fb7689a29d05,手机号：必须为 11 位数字，符合中国大陆号段规则（如 13/15/18/19 等开头）。...,,0.3
12,ce60840f-148f-4493-85eb-3388f49621d2,验证码：纯数字格式，长度固定为 6 位。...,,0.3
13,29af12da-0f5c-4d1d-aa88-61864700e4e6,锁定时间：正整数，单位为分钟。...,,0
